,title,link,date_published,text,like_count,reply_parent_id,source,cleaned_text
26,"Matt Taibbi asserts that people use AI because they &#39;&#39;lost faith in Google&#39;&#39;? But, in my experience, AI uses left-wing newspapers as source material in order to answer a politically-based question. Google does a similar thing in providing page after page of links to left-wing media when I want it to search for info on a given political issue.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugxu1FL9LauiEuxx0Jt4AaABAg,2025-09-08 18:28:50,"Matt Taibbi asserts that people use AI because they ''lost faith in Google''? But, in my experience, AI uses left-wing newspapers as source material in order to answer a politically-based question. Google does a similar thing in providing page after page of links to left-wing media when I want it to search for info on a given political issue.",0,,youtube,matt taibbi asserts ai lost faith google experience ai us left wing newspaper source material order answer politically based question google doe similar providing page page link left wing medium search info given political issue
27,"Matt Taibbi @29m, cites the National Review as being a media outlet which, because it told its readership not to vote for Trump, that meant its readers either didn&#39;t think the NR was &#39;being truthful&#39; or that the readers thought that it was being &#39;manipulative&#39; and so the readership declined. Well, that&#39;s not really something to laud as an example of &#39;truth winning out&#39; as Taibbi asserts. All that means is that, due to financial considerations, the media HAS to write articles which it knows that its readership wants to read because readers will already agree with the sentiments expressed. Arguably, in 2016, the NR was correct to urge its readership not to vote for the politically inexperienced Trump. After all, Trump made a lot of promises before being elected which he conspicuously failed to keep after winning the vote, notably, his promise to build a wall on the US southern border AND to compel Mexico to pay for it.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxmIV31QGAJgGgO7Uh4AaABAg,2025-09-08 18:10:47,"Matt Taibbi @29m, cites the National Review as being a media outlet which, because it told its readership not to vote for Trump, that meant its readers either didn't think the NR was 'being truthful' or that the readers thought that it was being 'manipulative' and so the readership declined. Well, that's not really something to laud as an example of 'truth winning out' as Taibbi asserts. All that means is that, due to financial considerations, the media HAS to write articles which it knows that its readership wants to read because readers will already agree with the sentiments expressed. Arguably, in 2016, the NR was correct to urge its readership not to vote for the politically inexperienced Trump. After all, Trump made a lot of promises before being elected which he conspicuously failed to keep after winning the vote, notably, his promise to build a wall on the US southern border AND to compel Mexico to pay for it.",0,,youtube,matt taibbi cite national review medium outlet told readership vote trump meant reader either nr wa truthful reader thought wa manipulative readership declined laud example truth winning taibbi asserts due financial consideration medium write article readership read reader already agree sentiment expressed arguably nr wa correct urge readership vote politically inexperienced trump trump made lot promise elected conspicuously failed keep winning vote notably promise build wall u southern border compel mexico
28,"Matt Taibbi&#39;s accent, with the modern American craze for strangulated vowels, makes it very irritating to listen to him for any length of time.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgzekeAAtnIsdf_kNBN4AaABAg,2025-09-08 17:41:25,"Matt Taibbi's accent, with the modern American craze for strangulated vowels, makes it very irritating to listen to him for any length of time.",0,,youtube,matt taibbi accent modern american craze strangulated vowel irritating listen length
29,Unheard has ruined human rights.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxwKAGO-DvGeOa1t-54AaABAg,2025-09-08 16:52:21,Unheard has ruined human rights.,0,,youtube,unheard ruined human
30,He is one of them don&#39;t be fooled...he is just not happy he didn&#39;t do it first,https://www.youtube.com/watch?v=Ra3fv8gl6NE&lc=UgzgvOvyjpiS4kNsG594AaABAg,2025-09-08 16:39:21,He is one of them don't be fooled...he is just not happy he didn't do it first,0,,youtube,fooled happy first
31,"The UK govt says they want to protect munors from dangerous content, but ignore grape gangs.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgwJbjCgzpi9pdkSneZ4AaABAg,2025-09-08 16:37:04,"The UK govt says they want to protect munors from dangerous content, but ignore grape gangs.",0,,youtube,uk govt protect munors dangerous content ignore grape gang
32,You don&#39;t want to denigrate or dismiss the illegal immigration - yet you do!? Suicidal empathy.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgysspwUPFUBGb6Y-yV4AaABAg,2025-09-08 13:30:20,You don't want to denigrate or dismiss the illegal immigration - yet you do!? Suicidal empathy.,0,,youtube,denigrate dismiss illegal immigration yet suicidal empathy
33,"&quot;Hate crimes&quot; and &quot;hate speech&quot; all come from the same source, the people we&#39;re &quot;not allowed to criticize.&quot; Now guess who that might be.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxK4nDDQGQsPDC1WpF4AaABAg,2025-09-08 12:32:05,"""Hate crimes"" and ""hate speech"" all come from the same source, the people we're ""not allowed to criticize."" Now guess who that might be.",0,,youtube,hate crime hate speech source allowed criticize guess might
34,Step one to save humanity: Destroy AI.<br>Step two to save humanity: See step one.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=Ugxr9XJEn78-nYPtDhl4AaABAg,2025-09-08 11:39:39,"Step one to save humanity: Destroy AI.
Step two to save humanity: See step one.",0,,youtube,step save humanity destroy ai step two save humanity step
35,The only social media I use is Facebook and I see on a daily basis how it tries to shift me to the left. Starting about a week ago out of the blue 90% of my feed is suddenly Trump hate reels. It’s weird.,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgxvFtY_1q-U-LZhRl54AaABAg,2025-09-08 11:33:58,The only social media I use is Facebook and I see on a daily basis how it tries to shift me to the left. Starting about a week ago out of the blue 90% of my feed is suddenly Trump hate reels. It’s weird.,0,,youtube,social medium facebook daily basis shift left starting week ago blue feed suddenly trump hate reel weird
